cell_type,patient,k,mean_dist,sd_dist,n_cells
mast,Lung5,7,547.597250100307,487.651482634506,7435
T CD4 memory,Lung5,7,1028.67554129515,904.596131974816,1124
T CD8 memory,Lung5,7,893.950112054674,863.243611366025,153
Treg,Lung5,7,934.641823396578,807.32087160358,480
monocyte,Lung5,7,786.251402460909,710.824893634651,5536
mDC,Lung5,8,949.810357834406,841.330474576108,13552
endothelial,Lung5,8,692.353596983416,660.455384660354,22846
pDC,Lung5,8,761.791591772413,622.856240658515,7169
macrophage,Lung5,8,504.589958142205,383.571923056619,21254
plasmablast,Lung5,8,631.159810231917,532.581289046101,22199
epithelial,Lung5,8,534.618240330144,405.830793382395,11846
neutrophil,Lung5,8,415.759988043465,284.297796798867,32836
fibroblast,Lung5,8,700.053159868349,716.633022621665,37735
NK,Lung5,8,607.604717159155,502.708240486522,5030
T CD4 naive,Lung5,8,1122.64679459038,1049.20778890902,23889
B-cell,Lung5,8,1206.39437591276,1043.87981473644,22788
T CD8 naive,Lung5,8,1220.68703973271,1088.50404067927,6009
mast,Lung5,8,567.677789777167,500.254622548875,7435
T CD4 memory,Lung5,8,1061.85496731461,924.800441622942,1124
T CD8 memory,Lung5,8,925.681808390709,883.971378986273,153
Treg,Lung5,8,964.170180171455,822.940069627265,480
monocyte,Lung5,8,816.229045299638,730.489956488183,5536
mDC,Lung5,9,981.100831943667,860.449449636055,13552
endothelial,Lung5,9,715.750259936624,676.831830842868,22846
pDC,Lung5,9,783.173249420277,635.666492237854,7169
macrophage,Lung5,9,525.217883704605,393.272372308113,21254
plasmablast,Lung5,9,648.884077975258,545.00755861735,22199
epithelial,Lung5,9,553.585917512161,415.131455657421,11846
neutrophil,Lung5,9,434.219622707374,293.591411100328,32836
fibroblast,Lung5,9,721.774622583778,734.275075740988,37735
NK,Lung5,9,630.134126035664,515.350373123884,5030
T CD4 naive,Lung5,9,1154.3975517074,1070.29083821324,23889
B-cell,Lung5,9,1240.05146261613,1066.59455564833,22788
T CD8 naive,Lung5,9,1258.74763386079,1110.57527279049,6009
mast,Lung5,9,586.375872570001,512.042768056207,7435
T CD4 memory,Lung5,9,1092.63543423801,945.350751743404,1124
T CD8 memory,Lung5,9,953.980473470871,901.856444912093,153
Treg,Lung5,9,991.103554355357,837.183488442624,480
monocyte,Lung5,9,844.051675235236,748.886854049526,5536
mDC,Lung5,10,1009.82486042357,877.60112911979,13552
endothelial,Lung5,10,737.300432917611,691.45011651349,22846
pDC,Lung5,10,802.783192680761,647.210855902656,7169
macrophage,Lung5,10,544.80961287381,402.280745938526,21254
plasmablast,Lung5,10,665.085866481774,556.129682096788,22199
epithelial,Lung5,10,571.308251716258,423.708530938277,11846
neutrophil,Lung5,10,451.801899181016,302.358185356399,32836
fibroblast,Lung5,10,741.736531143622,750.077962614764,37735
NK,Lung5,10,651.153794585694,526.91331094251,5030
T CD4 naive,Lung5,10,1183.36619463802,1089.19424064682,23889
B-cell,Lung5,10,1270.62346598129,1086.58468973377,22788
T CD8 naive,Lung5,10,1293.56485964741,1130.19168892402,6009
mast,Lung5,10,603.68092447408,522.618521655025,7435
T CD4 memory,Lung5,10,1120.94874203006,963.962883695307,1124
T CD8 memory,Lung5,10,979.609079994902,918.163398811258,153
Treg,Lung5,10,1015.41062887988,849.549038560794,480
monocyte,Lung5,10,869.851839078687,765.84357215439,5536
epithelial,Lung6,1,189.195764310571,158.915302027863,4120
fibroblast,Lung6,1,143.460968364302,106.603314364245,3252
endothelial,Lung6,1,194.116283363029,151.829065021366,2583
plasmablast,Lung6,1,200.888094577486,117.178263422812,411
B-cell,Lung6,1,218.61678975849,130.72404558788,487
pDC,Lung6,1,232.899691386334,139.926816078301,470
T CD8 naive,Lung6,1,216.698108160961,139.709261454136,689
T CD4 naive,Lung6,1,205.806406425594,148.274476240014,503
NK,Lung6,1,170.143613876331,162.382916141843,184
macrophage,Lung6,1,269.086984376642,216.057459767484,6884
mast,Lung6,1,151.764397004439,127.139792785242,254
T CD4 memory,Lung6,1,198.511071564187,139.910266351352,615
Treg,Lung6,1,223.530666230264,132.214967881584,319
T CD8 memory,Lung6,1,232.10316762128,179.010394739638,541
mDC,Lung6,1,234.08133209268,174.673435541033,904
neutrophil,Lung6,1,110.498358459311,73.1511955262117,482
monocyte,Lung6,1,144.630547535324,110.308450369732,296
epithelial,Lung6,2,226.591887671509,174.343490408831,4120
fibroblast,Lung6,2,161.418103604635,114.904815439434,3252
endothelial,Lung6,2,229.636346918071,169.744235982985,2583
plasmablast,Lung6,2,226.511092522559,120.371469226867,411
B-cell,Lung6,2,255.903756117932,141.761179425702,487
pDC,Lung6,2,271.149662841053,151.163599760833,470
T CD8 naive,Lung6,2,252.339891836875,154.269241555635,689
T CD4 naive,Lung6,2,239.626350980964,156.537036158507,503
NK,Lung6,2,200.292069474188,176.883854621045,184
macrophage,Lung6,2,325.158313851043,240.788850983638,6884
mast,Lung6,2,171.733520053283,137.454923002425,254
T CD4 memory,Lung6,2,224.941234877198,145.522489954623,615
Treg,Lung6,2,258.404451800698,144.699296630258,319
T CD8 memory,Lung6,2,275.066194848097,191.413150997822,541
mDC,Lung6,2,273.916110503915,190.146960078974,904
neutrophil,Lung6,2,132.089560481689,83.7115877666277,482
monocyte,Lung6,2,175.322750165102,127.279785954106,296
epithelial,Lung6,3,256.682069593792,191.639347138575,4120
fibroblast,Lung6,3,175.941796782745,122.784919900066,3252
endothelial,Lung6,3,255.640974190605,187.026714782958,2583
plasmablast,Lung6,3,245.035436706775,126.196287496908,411
B-cell,Lung6,3,284.790991434675,152.480895931666,487
pDC,Lung6,3,302.464360294472,173.907422845549,470
T CD8 naive,Lung6,3,282.438127577681,169.122321913519,689
T CD4 naive,Lung6,3,265.424184549784,166.044631001732,503
NK,Lung6,3,221.648740308604,189.254303255158,184
macrophage,Lung6,3,370.39507426435,267.857348519763,6884
mast,Lung6,3,187.298223240522,147.263622192814,254
T CD4 memory,Lung6,3,245.834661771142,154.17307690939,615
Treg,Lung6,3,284.288224732084,153.123336433377,319
T CD8 memory,Lung6,3,308.350261596545,204.479245496296,541
mDC,Lung6,3,306.778037337632,207.613177248545,904
neutrophil,Lung6,3,153.001448580892,96.1452102977943,482
monocyte,Lung6,3,199.176810495846,141.16831756723,296
epithelial,Lung6,4,281.043790528911,207.166422464233,4120
fibroblast,Lung6,4,188.215451933471,130.051379259517,3252
endothelial,Lung6,4,276.822061930618,202.980358316538,2583
plasmablast,Lung6,4,259.910615202909,131.676287771101,411
B-cell,Lung6,4,307.787754099411,162.154135186603,487
pDC,Lung6,4,327.158039361492,193.714630207597,470
