gene,median_coef,fisher_stat,fisher_pval,sign_consistency,n_samples,n_sig_samples,mean_expr,pct_expr,n_positive_samples,n_negative_samples,median_dispersion,fisher_fdr,perm_pval,gradient_score,decay_pattern,cell_type
S100A10,-0.000916039646738903,,1,0.8,5,1,0.264305385556916,0.185052019583843,1,4,0.704131944636922,1,,-0.000916039646738903,not_significant,pDC
S100A4,0.000531105607058937,,1,0.6,5,0,0.35641064871481,0.237760097919217,3,2,1.03059699015393,1,,0.000531105607058937,not_significant,pDC
S100A6,-0.00148823443358287,80.0094476347266,4.99910341222562e-13,1,5,1,0.648485312117503,0.366049571603427,0,5,1.33229581647174,4.98910520540116e-11,,-0.00148823443358287,linear,pDC
S100A9,-0.000636951926985846,,1,0.6,5,4,0.423271113831089,0.278151774785802,2,3,0.895343300392382,1,,-0.000636951926985846,not_significant,pDC
S100B,0.00067854963627769,,1,0.6,5,1,0.119645042839657,0.0920287637698898,3,2,0.409093893995742,1,,0.00067854963627769,not_significant,pDC
SAT1,1.47108480366066e-05,,1,0.6,5,1,0.615208078335373,0.332619339045288,3,2,0.910076219868371,1,,1.47108480366066e-05,not_significant,pDC
SCGB3A1,-0.000387565408222193,,1,0.6,5,0,0.0452876376988984,0.0385556915544676,2,3,0.279271319909559,1,,-0.000387565408222193,not_significant,pDC
SEC23A,-0.000588704167442138,,1,0.6,5,1,0.0987607099143207,0.0840728274173807,2,3,0.392965608427752,1,,-0.000588704167442138,not_significant,pDC
SEC61G,-0.000261782773208067,,1,0.6,5,1,0.144124847001224,0.119568543451652,2,3,0.557893198525249,1,,-0.000261782773208067,not_significant,pDC
SELENOP,0.00444844652529236,,1,0.8,5,3,0.635480416156671,0.310511015911873,4,1,1.01909207112073,1,,0.00444844652529236,not_significant,pDC
SELPLG,0.000796986513133375,,1,0.8,5,1,0.119339045287638,0.0989137086903305,4,1,0.478805691290937,1,,0.000796986513133375,not_significant,pDC
SERPINA1,-4.39924156669604e-05,,1,0.6,5,1,0.380431456548348,0.238066095471236,2,3,1.0182161832576,1,,-4.39924156669604e-05,not_significant,pDC
SERPINH1,0.000219489054880212,,1,0.6,5,0,0.133108935128519,0.104039167686659,3,2,0.425264244504847,1,,0.000219489054880212,not_significant,pDC
SFN,-0.000501959723624181,,1,0.8,5,1,0.0721389228886169,0.0612760097919217,1,4,0.366964256303642,1,,-0.000501959723624181,not_significant,pDC
SLC40A1,0.00198563665193633,32.4000977886883,0.000343358571335475,1,5,2,0.446985924112607,0.253212974296206,5,0,1.05171538317288,0.00951866261646679,,0.00198563665193633,linear,pDC
SLPI,-0.00283779012469733,,1,0.8,5,1,0.0601285189718482,0.050719094247246,1,4,0.378327440937977,1,,-0.00283779012469733,not_significant,pDC
SMAD2,-0.000780701861650134,,1,0.6,5,0,0.160954712362301,0.126835985312118,2,3,0.518647082786646,1,,-0.000780701861650134,not_significant,pDC
SMAD4,0.000673505958384953,,1,0.6,5,1,0.0881272949816401,0.0755813953488372,3,2,0.352208818751955,1,,0.000673505958384953,not_significant,pDC
SNAI1,-0.000665557422004279,,1,0.6,5,1,0.100367197062424,0.0833078335373317,2,3,0.371668432984953,1,,-0.000665557422004279,not_significant,pDC
SOD1,-0.000179486132276273,,1,0.6,5,1,0.135327417380661,0.110541615667075,2,3,0.561239218518575,1,,-0.000179486132276273,not_significant,pDC
SOD2,0.000350271432757495,,1,0.6,5,1,0.616202570379437,0.339580783353733,3,2,0.981474077232616,1,,0.000350271432757495,not_significant,pDC
SPARCL1,0.0017772830524234,10.4864970150735,0.398896031204012,1,5,0,0.127447980416157,0.09562423500612,5,0,0.532767411648372,1,,0.0017772830524234,not_significant,pDC
SPOCK2,-0.000216714059383191,,1,0.6,5,0,0.105951652386781,0.0862913096695226,2,3,0.444713313296712,1,,-0.000216714059383191,not_significant,pDC
SPP1,-0.00172457556394273,,1,0.8,5,3,0.350214198286414,0.143053855569155,1,4,1.12794204145831,1,,-0.00172457556394273,not_significant,pDC
SQSTM1,0.000957867608779928,,1,0.8,5,2,0.395348837209302,0.256425948592411,4,1,0.917944455676401,1,,0.000957867608779928,not_significant,pDC
SRC,-0.000894393447752322,,1,0.6,5,0,0.0856793145654835,0.0716799265605875,2,3,0.41950429218168,1,,-0.000894393447752322,not_significant,pDC
