cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
endothelial,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.348684210526316,0.751012145748988,0.226452414841522,1.04108333570093,56,"OSMR,IL6ST,IFNGR1,IL1R1,CXCL3,JUN,IL6,PDGFC,CSF2RB,TNFRSF1B,IL2RA,TNFRSF1A,CD36,CD14,IL2RG"
endothelial,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.419711030189123,0.787023664037329,-0.341406798808682,-1.04156776319329,32,"PTGES,CDH1,CELSR2,DHRS2,SERPINA1,SERPINA3,CXCL14,SFN,AREG,KRT13,CD44,AGR2,IL17RB"
endothelial,HALLMARK_E2F_TARGETS,E2f Targets,0.428987341772152,0.787023664037329,-0.386338079332542,-1.036137194801,17,"STMN1,CDKN3,EZH2,CHEK2,DNMT1,PTTG1,CHEK1,TOP2A"
endothelial,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,0.449727808021331,0.787023664037329,-0.309851143488782,-1.01993033153063,51,"SOX9,INHBA,SPP1,NR1H4,SERPINA3,LIF,WNT7A,PTGS2,ETV4,MMP10"
endothelial,HALLMARK_ADIPOGENESIS,Adipogenesis,0.52379746835443,0.818332491336293,-0.360391847892386,-0.966550848286813,17,"FABP4,LEP,ANGPT1,ADIPOQ"
endothelial,HALLMARK_TGF_BETA_SIGNALING,Tgf Beta Signaling,0.563358582616511,0.818332491336293,-0.360655450777316,-0.938636768829598,15,"HDAC1,CDH1"
endothelial,HALLMARK_HYPOXIA,Hypoxia,0.588985896574882,0.818332491336293,0.230891239531719,0.931167915718296,32,"ZFP36,MT2A,JUN,IL6,TGFB3,CAV1,CDKN1A,DCN,ANXA2,BCL2,VHL,IER3"
endothelial,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,0.605504587155963,0.818332491336293,-0.335419883489158,-0.910756368456187,18,"PTGES,ESR1,HSD17B2"
endothelial,HALLMARK_P53_PATHWAY,P53 Pathway,0.623569259518804,0.818332491336293,-0.293728892316886,-0.905453049376711,34,"DDIT3,ACVR1B,LIF,NDRG1,RXRA,SFN,IL1A,NOTCH1,SERPINB5,TSC22D1,PDGFA,BMP2,TNFSF9,FGF13,INHBB,S100A4,TAP1,EPHA2,RB1"
endothelial,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.679317931793179,0.818332491336293,-0.264466945089122,-0.882452678075818,56,"SPP1,CASP3,SPRY4,LIF,ETV4,TNFRSF21,NDRG1,EOMES,IL10,CD48,TLR7,CD44,BATF3,IL2RB,BMP2,IGF2R,IL18R1,CSF2,IGF1R,TNFRSF4,IL1R2"
endothelial,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.707510298933136,0.818332491336293,-0.249774935623969,-0.875599596794714,84,"INHBA,CXCL9,CLEC5A,TNFAIP6,ACVR1B,TLR3,LIF,CCL7,AXL,TLR1,MMP14,ACVR2A,ICOSLG,CXCR6,IL10,CSF3R,CCRL2,IL1A,CD48,IFNAR1,ITGB8"
endothelial,HALLMARK_COAGULATION,Coagulation,0.745095735933279,0.818332491336293,-0.268713132384974,-0.819793094969149,32,"MMP1,SERPINA1,MMP10,PF4,MMP14,ITGA2,APOA1,MMP7,DUSP6,MMP3,MMP8,FGG"
endothelial,HALLMARK_COMPLEMENT,Complement,0.74609375,0.818332491336293,0.202185811040697,0.859896828129471,40,"CLU,GZMA,C1QC,CD59,IL6,JAK2,DUSP5,GZMK,CD36"
endothelial,HALLMARK_APICAL_JUNCTION,Apical Junction,0.759880170526558,0.818332491336293,-0.258581601024984,-0.812934663744394,38,"CD276,CDH1,TNFRSF11B,EGFR,CLDN4,ACTG2"
endothelial,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,0.863442692799318,0.895422051791886,-0.218726253352719,-0.757211203418904,75,"INHBA,SPP1,MMP1,TNFRSF11B,COL11A1,FZD8,WNT5A,MMP14,COL5A1,LUM,THBS2,ITGA2,TPM2,AREG,VCAN,CD44,ITGB5,COL12A1"
endothelial,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.946101517530089,0.946101517530089,-0.193114639698218,-0.685274171092896,94,"INHBA,CXCL9,EGFR,TLR3,LIF,CCL7,CD8B,TLR1,PF4,ACVR2A,ICOSLG,IL11,CCL11,IL10,CD80,LY75,CCR5,IFNG,CCR1,PRF1,ETS1,FASLG,IL2RB,IL12A,CD40LG"
epithelial,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.393203159934417,0.988917674150835,-0.374035861357467,-1.04914113847549,17,"IL1R2,IL2RB,TNFSF10,IL18R1,TNFRSF9,IL10,LTB,LIF,IL2RA"
epithelial,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.505656732891832,0.988917674150835,-0.292889025748994,-0.973189650203775,38,"CXCL9,IL2RB,IL11,TGFB2,CCL4,IL10,IFNG,LTB,IL6,IL12B,LIF,CD3E,IL2RA,IFNGR2,IL7,IL2,CCL11,IFNAR2,CCL5,IL12A,CCL7,CCL2,CSF1,CXCR3,HLA-A,TNF"
epithelial,HALLMARK_APOPTOSIS,Apoptosis,0.593543543543544,0.988917674150835,-0.326612707028349,-0.900907023258553,16,"HSPB1,LGALS3,TNFSF10,TGFB2,TNFRSF12A,IL1A,IL6"
epithelial,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.823026990092245,0.988917674150835,0.211108177508413,0.792140287717149,31,"IL7R,CSF3R,CXCR6,IL1R1,CD40"
epithelial,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.898332595543751,0.988917674150835,-0.232708736603052,-0.669061466616375,19,"CXCL9,IL2RB,TNFSF10,XCL1"
