gene,sample_id,coef,se,n_cells,pval,dispersion
ADGRG3,Lung5,-0.00101624444186462,0.000381928870202571,37735,0.00779503345074956,0.309287181843571
ADGRG3,Lung6,0.00220522019903856,0.00197240652708635,3252,0.263551900865002,0.195248764213975
ADGRG3,Lung9,0.000533250673679001,0.000745232495588667,21893,0.474269620160901,0.199084136611901
ADGRG3,Lung12,-0.000682173698478512,0.000477843457377031,16548,0.153404384594893,0.449773648939989
ADGRG3,Lung13,-0.000368208073187793,0.00087691301451089,13609,0.67456492398243,0.215628132622244
ADGRG5,Lung5,-0.000467153655332373,0.000454846163805813,37735,0.304392880644803,0.251859714190444
ADGRG5,Lung6,0.00719260836811924,0.00285482637773825,3252,0.0117536455464857,0.103697621634588
ADGRG5,Lung9,0.00201886311365625,0.00081688421638803,21893,0.0134578062244201,0.175485393958952
ADGRG5,Lung12,0.000504806699689859,0.000553200377831404,16548,0.36149476941397,0.377492037891158
ADGRG5,Lung13,0.00236890981385055,0.00109019706199924,13609,0.0297864208125935,0.159705289628831
ADGRG6,Lung5,-0.00072017147144548,0.000414255936773367,37735,0.0821280517110128,0.280046591513124
ADGRG6,Lung6,0.00288090898666189,0.00243870767589281,3252,0.237473209440101,0.138543390988402
ADGRG6,Lung9,-0.00027372707653225,0.000786464511034624,21893,0.727804444577895,0.178074834139714
ADGRG6,Lung12,-0.000443727183047566,0.000481161730507328,16548,0.356424441749927,0.440657394863807
ADGRG6,Lung13,-2.97790783830999e-05,0.000948308338227721,13609,0.97494869392666,0.191404852846177
ADGRL1,Lung5,0.000650657915323774,0.000414416264169519,37735,0.116401425137372,0.29075737099575
ADGRL1,Lung6,-0.00296943154339011,0.00194978728131371,3252,0.127770829741933,0.215838114284286
ADGRL1,Lung9,-0.00231734314723502,0.000687731619547398,21893,0.000752921945730971,0.216999972720457
ADGRL1,Lung12,0.000591807398843833,0.000522223312751037,16548,0.257111027156613,0.40197888644231
ADGRL1,Lung13,-0.00130245314228244,0.000847283560339232,13609,0.124241782363472,0.227066953615736
ADGRL2,Lung5,-0.000446224828260384,0.000337167930023394,37735,0.185685841245238,0.377856699932149
ADGRL2,Lung6,0.000711924423018921,0.00161511165609987,3252,0.659365322332443,0.250090781313324
ADGRL2,Lung9,-0.00161947876731227,0.000643151603387654,21893,0.0118011322845445,0.236839791757329
ADGRL2,Lung12,0.000927101889247369,0.000523692934301789,16548,0.0766745432207962,0.394353041996834
ADGRL2,Lung13,0.00114999270842531,0.000807628798508612,13609,0.15447181476337,0.247569813224351
ADGRL4,Lung5,0.000245205281689651,0.000454661181220704,37735,0.589669995770906,0.256283533840677
ADGRL4,Lung6,0.0011770037110497,0.00203753285170894,3252,0.563492866591619,0.177415249679761
ADGRL4,Lung9,0.00155276348387177,0.000876126116163634,21893,0.0763437925694365,0.149235222464407
ADGRL4,Lung12,-0.000768490221472474,0.000583943119701152,16548,0.188161928921567,0.348199830427207
ADGRL4,Lung13,0.00207475962082895,0.000952512958361499,13609,0.0293914708014253,0.191460028278271
ADGRV1,Lung5,-0.000833513298670171,0.000500128034984338,37735,0.0955940024934564,0.214240023502806
ADGRV1,Lung6,0.0033625726099927,0.00283315813684241,3252,0.235281379198471,0.112031871209225
ADGRV1,Lung9,-0.000685338318398379,0.000909953876267069,21893,0.451355452030551,0.147318855107003
ADGRV1,Lung12,-0.000317656996925668,0.000586851298028851,16548,0.588307409260875,0.344169591696805
ADGRV1,Lung13,0.000470475727084468,0.00127631634245837,13609,0.712410987781103,0.122104815921072
ADIPOQ,Lung5,-3.90836344328114e-05,0.000412136835352927,37735,0.92444851179568,0.290251062331711
ADIPOQ,Lung6,-0.00461304451079246,0.0028584182185382,3252,0.106561008411313,0.123993540267641
ADIPOQ,Lung9,0.000373064055312805,0.000755662799233728,21893,0.621524298629936,0.191606392094368
ADIPOQ,Lung12,-0.00102466621576528,0.000487716195423835,16548,0.035645558119422,0.436481836489501
ADIPOQ,Lung13,0.000600682655082493,0.000943815096166235,13609,0.524489003101128,0.191532625157675
ADIRF,Lung5,0.000615302454375339,0.000220212554329929,37735,0.00520395905867516,0.687861929434195
ADIRF,Lung6,0.00256426999838603,0.0012357193747124,3252,0.0379751139280931,0.374777429862209
ADIRF,Lung9,0.00158749278879782,0.000520036847476122,21893,0.00226826980686034,0.322813217693912
ADIRF,Lung12,-0.000630046655982064,0.000329291554054615,16548,0.0557045580051979,0.673229781540346
ADIRF,Lung13,0.00153908416726332,0.000620422895848107,13609,0.013112403418896,0.346264925902941
ADM2,Lung5,-0.000591628755969915,0.000390706199006656,37735,0.129961215557692,0.301989702877254
ADM2,Lung6,-0.00151411456267887,0.00224595621207218,3252,0.500215053319047,0.167696956184988
ADM2,Lung9,-3.84068200848077e-06,0.000799271034297904,21893,0.996165995071729,0.174474481765405
ADM2,Lung12,-0.000643494716098154,0.000513827178334275,16548,0.210440053775974,0.403408964249737
ADM2,Lung13,-0.000412534572082025,0.000907067715908857,13609,0.649252991537971,0.199139705741055
ADORA2A,Lung5,-0.000738410579929379,0.000419699098107749,37735,0.0785128326664428,0.273798559994755
ADORA2A,Lung6,0.00325309199185915,0.00262458526152418,3252,0.215171873157602,0.122840644122512
ADORA2A,Lung9,0.00208061418403725,0.000760724814827623,21893,0.00623723507562903,0.191159961735044
ADORA2A,Lung12,-0.000313278791623779,0.00056448282508616,16548,0.578905779607029,0.359311623090359
ADORA2A,Lung13,-0.000211437708561331,0.00105533710175443,13609,0.841206178912882,0.162383380191773
AGR2,Lung5,-0.00522690226910149,0.000398395846262832,37735,2.53364517730374e-39,0.252500521875902
AGR2,Lung6,-0.00423276518277358,0.00298713140441806,3252,0.156482929165057,0.116852056481814
AGR2,Lung9,-0.00347753059822621,0.000793251283847954,21893,1.16575801642268e-05,0.176701895852624
AGR2,Lung12,-0.00145821313253182,0.000558815697499343,16548,0.00906824383678977,0.363016423108284
AGR2,Lung13,-0.00142039075141291,0.0011657280095336,13609,0.223049932821034,0.137895250104967
AHI1,Lung5,4.3737680511102e-05,0.000300886678131153,37735,0.884424563848503,0.427130644037102
AHI1,Lung6,2.26879095481555e-05,0.00130230883095648,3252,0.986100518805067,0.336671369975982
AHI1,Lung9,-0.000793658391640553,0.000529640446922628,21893,0.134007224922721,0.301171734116
AHI1,Lung12,-0.000515631196239882,0.00044043320062578,16548,0.241704734128977,0.486676474691957
AHI1,Lung13,0.000865576981865033,0.000708577071167051,13609,0.221870018116307,0.285758616497267
AHR,Lung5,0.00110328670738178,0.000259282235486799,37735,2.08902062811112e-05,0.550823961466295
AHR,Lung6,-0.00246219559769466,0.0010184467357173,3252,0.0156232923548182,0.474817738192188
AHR,Lung9,0.000249895296591114,0.000548065004546033,21893,0.648419297206598,0.283964749681944
AHR,Lung12,-0.00014678307207472,0.000454979196443439,16548,0.746986901231798,0.47402624323335
AHR,Lung13,-0.000126712540679045,0.000644177088861018,13609,0.844058778076406,0.321768231051812
AKT1,Lung5,-0.00126145703937867,0.00024725078049086,37735,3.36200897266888e-07,0.525342012629519
AKT1,Lung6,-1.47359227604648e-06,0.0010100231426875,3252,0.998835911714131,0.478419300834509
AKT1,Lung9,-0.00353838016205917,0.000449460871889621,21893,3.4762708580485e-15,0.366620104528425
AKT1,Lung12,0.000325901350021488,0.00044998892623087,16548,0.4689165365036,0.471852762250724
AKT1,Lung13,-0.00189782036653891,0.000446874033114162,13609,2.16768041754109e-05,0.494595474037894
