ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score,nichenet_activity,nichenet_auroc,enrichment_pval,enrichment_fdr,enrichment_odds_ratio,n_downstream_overlap,enrichment_score,scaled_direct,scaled_activity,scaled_enrichment,scaled_expression,combined_score
COL9A3,ITGB1,fibroblast,13.6464525177548,0.475958111065732,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000105381802595625,0.000105381802595625,0.0281220868913801,0.654697035745423,0.0193635857960272,0.0230518878524133,1.6027239379157,37,1.71301421586918,0.11213999372682,0.514142651017901,0.40656590852571,0.157162588792423,0.296128233380482
THBS2,ITGB1,fibroblast,17.2457023019189,0.594092031359317,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000209031193715739,0.000209031193715739,0.022331136819996,0.633863702412089,0.0323213300548489,0.0343843936753711,1.5311648738542,36,1.49051077588024,0.239964556085686,0.383459682234821,0.3104042973446,0.224256363456985,0.295530222919339
COL8A1,DDR1,fibroblast,7.39531545120455,0.252151457375062,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000126066890787818,0.000100853512630255,0.0310711126561784,0.663488084859054,0.0323213300548489,0.0343843936753711,1.5311648738542,36,1.49051077588024,0.106555525966784,0.580692601753275,0.3104042973446,0.040634865824783,0.282974336964094
COL5A2,ITGB1,fibroblast,8.12039177938097,0.273745660641291,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,0.000104177442013513,8.33419536108105e-05,0.0292944501236287,0.66256175530369,0.0193635857960272,0.0230518878524133,1.6027239379157,37,1.71301421586918,0.0849595730750984,0.540599088354399,0.40656590852571,0.054151045777427,0.282891842019244
CX3CL1,ITGB1,fibroblast,17.816964536755,0.602981284386015,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000256613449810195,0.000256613449810195,0.0156851554415207,0.622911217669282,0.0323213300548489,0.0343843936753711,1.5311648738542,36,1.49051077588024,0.298644891740269,0.23348142887222,0.3104042973446,0.234905288082084,0.275073773634902
COL5A1,ITGB1,fibroblast,11.0031655932758,0.387068666988134,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,9.80163803495265e-05,7.84131042796212e-05,0.0319770112591666,0.663506248183666,0.0518435047544549,0.0540036507858905,1.46188742649111,35,1.28530564671944,0.078881119532019,0.601135796288821,0.22171867592809,0.107888960142068,0.267025817899279
COL8A1,ITGB1,fibroblast,7.39531545120455,0.252151457375062,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.42691560636332e-05,5.94153248509065e-05,0.0310711126561784,0.663488084859054,0.0323213300548489,0.0343843936753711,1.5311648738542,36,1.49051077588024,0.0554523003655695,0.580692601753275,0.3104042973446,0.040634865824783,0.262533046723609
SPP1,ITGB1,fibroblast,13.0632820950472,0.458384536124057,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.00014910550585826,0.00014910550585826,0.0223171529015517,0.645615373437957,0.0799274564982101,0.0815586290798062,1.39480741069561,34,1.09730400720237,0.166061808161586,0.38314411053156,0.140468064424961,0.146291683109708,0.224090737620065
COL9A1,ITGB1,fibroblast,7.28483393039664,0.252420655354701,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.7388666004186e-05,6.19109328033488e-05,0.0323834538952825,0.656586021505376,,,,,,0.0585299836099465,0.610307888894164,0,0.0385753749013418,0.210361897602362
VCAM1,ITGB1,fibroblast,5.9173770231515,0.200994943891205,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.58563555202541e-05,6.06850844162033e-05,0.0302390586919508,0.668101569311247,,,,,,0.0570182184957297,0.56191584130937,0,0.0130845501183899,0.192690494802942
COL6A3,ITGB1,fibroblast,6.6957094137533,0.230349942116661,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.53305355923622e-05,6.02644284738898e-05,0.0296890627556116,0.652953356582389,,,,,,0.0564994488131603,0.549504216119472,0,0.0275934786898185,0.190210392230088
MMP9,DDR1,fibroblast,6.10526176512423,0.209905019389061,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000123381857361243,9.87054858889947e-05,0.0267047745205094,0.656259081662307,,,,,,0.103906493732543,0.48215850575068,0,0.0165869179163378,0.187868841009855
COL15A1,ITGB1,fibroblast,6.83860766821142,0.233274285305923,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.29943452931472e-05,6.63954762345178e-05,0.0282744786065224,0.658275210694566,,,,,,0.0640605013995224,0.517581637972933,0,0.0302572513812155,0.18392441708981
COL14A1,ITGB1,fibroblast,6.7664969749895,0.234558337828072,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.56187725499535e-05,6.04950180399628e-05,0.0284412278757443,0.654297442603895,,,,,,0.0567838210612679,0.521344628376185,0,0.0289130327545383,0.182008220212816
DCN,MET,fibroblast,6.8061909345612,0.234339795557283,-0.0002584895492646,1.16711516794772e-10,0.0345991379773638,5,5,1,2.46887622738243e-05,2.46887622738243e-05,0.0301859991595274,0.670390148212729,,,,,,0.0126261186034467,0.560718459682201,0,0.0296529696132597,0.176231282307365
ADM2,RAMP1,fibroblast,7.66523437629212,0.252844913505849,-0.000340479145456659,4.72842058303121e-16,0.274460698431807,5,5,1,5.40009681878544e-05,5.40009681878544e-05,0.0271834659994988,0.654479075850043,,,,,,0.0487750998202482,0.49296102050808,0,0.0456664364640884,0.171964989726932
COL12A1,ITGB1,fibroblast,6.71357169556056,0.227437632832878,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.32175409035618e-05,5.85740327228494e-05,0.0270087845847035,0.64619659982563,,,,,,0.0544147853650208,0.489019027295346,0,0.0279264502762431,0.171264267362236
FGG,ITGB1,fibroblast,6.12047778296005,0.208534885962079,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.13845621543133e-05,6.51076497234507e-05,0.0266323375714491,0.654624382446963,,,,,,0.0624723023913822,0.480523838651826,0,0.0168705603788477,0.170833128589986
MMP16,DDR1,fibroblast,5.77910973064341,0.19497969638793,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000119255762666872,9.54046101334976e-05,0.0237159583343396,0.647468032548681,,,,,,0.099835722121753,0.414710614205961,0,0.0105071033938437,0.165398183449874
VEGFD,ITGB1,fibroblast,7.55739911945566,0.256095235169494,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,8.10492959622995e-05,8.10492959622995e-05,0.0221333241035164,0.643344957861091,,,,,,0.0821321762385842,0.378995690535023,0,0.043656274664562,0.150917205122397
IAPP,RAMP1,fibroblast,5.21545550472524,0.176647281452921,-0.000340479145456659,4.72842058303121e-16,0.274460698431807,4,5,0.8,3.78318361618711e-05,3.02654689294968e-05,0.0256934524393233,0.634572072072072,,,,,,0.0195035356337026,0.459336245096358,0,0,0.145602287782388
ANGPTL1,ITGB1,fibroblast,7.2811953174359,0.246573744975481,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.64137795566733e-05,6.91310236453387e-05,0.0211248623974871,0.640929235687303,,,,,,0.067434087552044,0.356237979274623,0,0.038507547355959,0.1376957835388
HGF,MET,fibroblast,6.0245507139951,0.205418863674724,-0.0002584895492646,1.16711516794772e-10,0.0345991379773638,4,5,0.8,1.80632412629572e-05,1.44505930103658e-05,0.0238510014810121,0.640729439116537,,,,,,0,0.417758100214894,0,0.0150823796369377,0.126835668028162
TGFB1,ITGB1,fibroblast,15.1855858001475,0.519560590412491,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.00018513011717989,0.00018513011717989,0.00880308983598846,0.54771505376344,0.16893431365035,0.16893431365035,1.26691796862163,32,0.772282128312705,0.210488795397809,0.0781755198927776,0,0.185853640489345,0.126233538175892
TGFB1,ITGB8,fibroblast,15.1855858001475,0.519560590412491,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000180002591073345,0.000180002591073345,0.00880308983598846,0.54771505376344,0.16893431365035,0.16893431365035,1.26691796862163,32,0.772282128312705,0.204165325732722,0.0781755198927776,0,0.185853640489345,0.123704150309856
ANGPT1,ITGB1,fibroblast,6.0642446735668,0.205920161996287,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,7.48677368337686e-05,7.48677368337686e-05,0.0114334336553501,0.590180906713166,,,,,,0.074508831019081,0.137533852290252,0,0.015822316495659,0.072645919744274
CD40LG,ITGB1,fibroblast,5.29649733885079,0.179702154916749,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,6.56867274308793e-05,5.25493819447034e-05,0.0101372500976291,0.594031531531535,,,,,,0.0469849457802509,0.108283191634789,0,0.0015107044198895,0.051430006244526
CXCL12,ITGB1,fibroblast,10.4646508750864,0.363742920168496,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.83164799168242e-05,7.06531839334593e-05,0.00533890060980839,0.578084132519617,,,,,,0.0693112763185809,0,0,0.0978504834254144,0.0375095588699738
