ligand,auroc,aupr,activity,pearson,cell_type
COL1A1,0.66348808485905,0.0956708079810825,0.0304076500863457,0.0622806080727446,fibroblast
CD24,0.610959750072651,0.0955779679728434,0.0303148100781065,0.0441695959599068,fibroblast
MMP14,0.662234815460626,0.0955216760516085,0.0302585181568717,0.0652566450769172,fibroblast
INS,0.636751671025869,0.0955193283582243,0.0302561704634875,0.0643294984052374,fibroblast
VCAM1,0.668101569311247,0.0955022165866876,0.0302390586919508,0.0380247997740274,fibroblast
DCN,0.670390148212729,0.0954491570542643,0.0301859991595274,0.0369876614202366,fibroblast
S100A4,0.653516419645452,0.0953333649163188,0.0300702070215819,0.0758404075053514,fibroblast
BMP3,0.650537634408602,0.0952940022745233,0.0300308443797864,0.0865549381788341,fibroblast
LEFTY2,0.659619296716068,0.0951978425144085,0.0299346846196717,0.102007844867296,fibroblast
BMP5,0.663760534728278,0.0951433055152101,0.0298801476204733,0.102154596007054,fibroblast
C1QA,0.664959314152864,0.0950787695286217,0.0298156116338849,0.056949490517443,fibroblast
BMP2,0.644525573961061,0.0950542802319567,0.0297911223372198,0.0689777095691361,fibroblast
CALM3,0.668519325777393,0.0949707398716986,0.0297075819769617,0.0652649381767396,fibroblast
COL6A3,0.652953356582389,0.0949522206503485,0.0296890627556116,0.0935558432066309,fibroblast
CDH5,0.653371113048533,0.0949425612787149,0.0296794033839781,0.0725170412363976,fibroblast
TGFB2,0.639675966288869,0.0948621721129494,0.0295990142182126,0.0669992177766469,fibroblast
CALM1,0.665958297006686,0.0948474761505057,0.0295843182557689,0.0485639846441636,fibroblast
AREG,0.655387242080789,0.0948464909749164,0.0295833330801796,0.0552974693685103,fibroblast
CFD,0.652517436791631,0.0948214707171734,0.0295583128224365,0.0731280116733219,fibroblast
CD9,0.661817058994481,0.0946882793665779,0.0294251214718411,0.00191420575174974,fibroblast
COL5A2,0.66256175530369,0.0945576080183655,0.0292944501236287,0.0718819559105213,fibroblast
VEGFC,0.652753560011626,0.0945309628666361,0.0292678049718993,0.04303510335576,fibroblast
SELL,0.66221665213601,0.0945271282724609,0.0292639703777241,0.0243841809861549,fibroblast
WNT7A,0.646305579773325,0.0944995223800998,0.029236364485363,0.051061253468417,fibroblast
GDF6,0.647994768962508,0.0944942294584054,0.0292310715636686,0.0973077313595353,fibroblast
EZR,0.661399302528336,0.0944605215551127,0.0291973636603758,0.0630303374195751,fibroblast
AZGP1,0.658711130485328,0.0943990254252012,0.0291358675304644,0.0934423722742585,fibroblast
DLL1,0.651863557105492,0.0941286543482858,0.028865496453549,0.063012102043833,fibroblast
LGALS1,0.664178291194424,0.0941025296318741,0.0288393717371373,0.0371520025288838,fibroblast
CD55,0.659510316768384,0.0941019134348729,0.0288387555401361,0.055731831663957,fibroblast
CD300A,0.66030950305144,0.0938803518172422,0.0286171939225054,0.088231716512653,fibroblast
GDF15,0.666539523394364,0.0938591758387689,0.0285960179440321,0.0535891471250268,fibroblast
PPBP,0.654769689043884,0.0938248787036481,0.0285617208089112,0.0298297607786309,fibroblast
VWF,0.661889712292937,0.093785260306115,0.0285221024113782,0.0358211146230945,fibroblast
COL14A1,0.654297442603895,0.0937043857704811,0.0284412278757443,0.082627840819694,fibroblast
ITGB1,0.661326649229874,0.0936503371890744,0.0283871792943376,0.0442373884956484,fibroblast
COL15A1,0.658275210694566,0.0935376365012592,0.0282744786065224,0.0816817366469746,fibroblast
COL4A1,0.644634553908748,0.0934775024039225,0.0282143445091857,0.0769883407058487,fibroblast
COL27A1,0.652244986922408,0.0934268837397715,0.0281637258450347,0.0864812400641069,fibroblast
THBS1,0.663760534728276,0.0934168890409948,0.028153731146258,0.0414346536072058,fibroblast
COL9A3,0.654697035745423,0.093385244786117,0.0281220868913801,0.0865890187699857,fibroblast
GDF3,0.660836239465268,0.0933719199201389,0.028108762025402,0.0832895781370403,fibroblast
ANXA1,0.659401336820697,0.0932783943683938,0.028015236473657,0.0406049651412976,fibroblast
COL16A1,0.655950305143853,0.0931533122673731,0.0278901543726362,0.0648294167499672,fibroblast
TPSB2,0.65358907294391,0.0931357057095093,0.0278725478147725,0.0892659272492647,fibroblast
COL17A1,0.657312554489975,0.0928624808274184,0.0275993229326816,0.0678720166391929,fibroblast
SST,0.661580935774489,0.0928615199335384,0.0275983620388016,0.00680964257017283,fibroblast
ADM2,0.654479075850043,0.0924466238942356,0.0271834659994988,0.0762270584241014,fibroblast
CTSG,0.652263150247022,0.0923982286218751,0.0271350707271383,0.0476013837835075,fibroblast
MMP12,0.647740482417902,0.0923921703667312,0.0271290124719944,0.0883653558592271,fibroblast
COL12A1,0.64619659982563,0.0922719424794403,0.0270087845847035,0.0761186763517748,fibroblast
EFNB1,0.658129904097643,0.0922676414390533,0.0270044835443165,0.0859420597861436,fibroblast
CLEC2D,0.658910927056087,0.0922512943386297,0.0269881364438928,0.0376971960361513,fibroblast
SELPLG,0.652935193257775,0.0922246528337814,0.0269614949390446,0.00855193925545144,fibroblast
CD58,0.657403371113048,0.0921848127640775,0.0269216548693407,0.0263425895501301,fibroblast
COL9A2,0.649847428073234,0.0919686935896008,0.026705535694864,0.0363744353241095,fibroblast
MMP9,0.656259081662307,0.0919679324152463,0.0267047745205094,0.0393039710285931,fibroblast
FGG,0.654624382446963,0.0918954954661859,0.0266323375714491,0.0805264938183021,fibroblast
ITGAL,0.65832970066841,0.0918648129050588,0.0266016550103219,0.0215721100722746,fibroblast
ITGB2,0.652626416739319,0.0916752693017507,0.0264121114070139,0.050670681586371,fibroblast
MMP2,0.655641528625399,0.0916209307754757,0.0263577728807389,0.0575312844410288,fibroblast
EFNA5,0.658166230746879,0.0915153460046817,0.0262521881099449,0.0534815714742972,fibroblast
GCG,0.649520488230166,0.0914605722144432,0.0261974143197064,0.0122998584712872,fibroblast
EFNB2,0.657185411217669,0.091405526750911,0.0261423688561741,0.0846857354258074,fibroblast
APOA1,0.652027027027031,0.0913880450061645,0.0261248871114277,0.0220473831479371,fibroblast
JAG1,0.645615373437954,0.0913430230920108,0.0260798651972739,0.0358997571317457,fibroblast
TNFSF8,0.658565823888407,0.0912960128101526,0.0260328549154158,0.00752641550863634,fibroblast
ADIPOQ,0.652735396687011,0.0911534584957873,0.0258903006010505,0.0228265330373124,fibroblast
TNFSF10,0.650573961057834,0.0910968566792517,0.0258336987845149,0.0231933483409703,fibroblast
EFNA4,0.654896832316188,0.0910168585239949,0.025753700629258,0.0661202925678594,fibroblast
IAPP,0.634572072072072,0.0909566103340601,0.0256934524393233,0.0568466994091574,fibroblast
SCGB3A1,0.643363121185702,0.0908245056849873,0.0255613477902505,0.0831756114243223,fibroblast
BMP6,0.653861522813133,0.0906750901561928,0.025411932261456,0.00552698765833615,fibroblast
TYROBP,0.651209677419355,0.0906579480017414,0.0253947901070045,0.0265000133415164,fibroblast
S100A8,0.647667829119445,0.0905137073368192,0.0252505494420823,0.0307359620053983,fibroblast
CD2,0.649048241790177,0.09046655546747,0.0252033975727331,0.0126823336439215,fibroblast
EFNA1,0.648557832025573,0.0903955181451472,0.0251323602504104,0.0793009928195443,fibroblast
VEGFB,0.656985614646909,0.0903824343180399,0.025119276423303,0.080678123505039,fibroblast
EFNB3,0.653897849462364,0.0903172237247427,0.0250540658300058,0.0780226602490672,fibroblast
IGFBP7,0.660509299622207,0.0903011995504228,0.0250380416556859,0.0691725192838791,fibroblast
ESAM,0.643581081081079,0.0902016727112112,0.0249385148164743,0.086434198149482,fibroblast
APP,0.652299476896252,0.0900792876551276,0.0248161297603908,0.00680646254376426,fibroblast
PRSS2,0.640765765765767,0.0900699452482058,0.024806787353469,0.0497139430730874,fibroblast
GZMB,0.652263150247021,0.0900698609722613,0.0248067030775245,0.0821523611303256,fibroblast
VTN,0.649157221737867,0.0900464187476266,0.0247832608528897,0.0285041943339795,fibroblast
S100A9,0.65317131647777,0.0899622476648698,0.024699089770133,0.0305265062297915,fibroblast
HLA.DRB1,0.656458878233073,0.0898399294582425,0.0245767715635057,0.0420523565480759,fibroblast
CD70,0.662598081952924,0.0896470397177095,0.0243838818229726,0.0367450578246638,fibroblast
CXCL16,0.642345975007267,0.0896355542356987,0.0243723963409619,0.0189501117186247,fibroblast
HLA.DQA1,0.65658602150538,0.0895657833120595,0.0243026254173226,0.0839180621975995,fibroblast
PTGS2,0.644089654170303,0.0894223261613683,0.0241591682666314,0.0651830424602749,fibroblast
PNOC,0.64516129032258,0.0893983664268849,0.0241352085321481,0.0225906581442532,fibroblast
ICAM2,0.650156204591685,0.0892705682131139,0.024007410318377,0.0568904572664887,fibroblast
PECAM1,0.639276373147343,0.0892083155543816,0.0239451576596447,0.073766162140137,fibroblast
HGF,0.640729439116537,0.0891141593757489,0.0238510014810121,0.0376131400249577,fibroblast
MMP16,0.647468032548681,0.0889791162290764,0.0237159583343396,0.0624343848755682,fibroblast
CCL21,0.643708224353389,0.0887750291239865,0.0235118712292496,0.0617807642252093,fibroblast
PF4,0.643254141238013,0.0887437888086856,0.0234806309139487,0.0266833725419883,fibroblast
ITGAM,0.643835367625691,0.0886627638978452,0.0233996060031083,0.0454131191077568,fibroblast
FGF1,0.634681052019766,0.0886454007297505,0.0233822428350136,0.0556324748566912,fibroblast
CCL23,0.643054344667248,0.0886208171149625,0.0233576592202257,0.00543374925507368,fibroblast
CD274,0.638331880267364,0.0886023014889897,0.0233391435942528,0.0427610672725422,fibroblast
CD5L,0.645506393490268,0.0885645255658535,0.0233013676711167,0.0408629765799125,fibroblast
GDNF,0.647449869224064,0.0885530113884265,0.0232898534936897,0.0346028738089482,fibroblast
TNFRSF14,0.651137024120895,0.0885487150865146,0.0232855571917777,0.0108646515800329,fibroblast
HLA.B,0.653589072943917,0.0885327764528332,0.0232696185580963,0.080808993024819,fibroblast
CXCL5,0.64140148212729,0.0883031041753803,0.0230399462806435,0.0680894151869637,fibroblast
IGF1,0.645052310374893,0.088279208838017,0.0230160509432802,0.034516470670634,fibroblast
ITGA9,0.642999854693405,0.0882158158347352,0.0229526579399983,0.0755735363592511,fibroblast
MIF,0.640547805870388,0.0880008160978913,0.0227376582031545,0.0299009624373603,fibroblast
C1QB,0.640166376053475,0.0879670328345855,0.0227038749398486,0.0704413950625638,fibroblast
B2M,0.647141092705609,0.0879435790340692,0.0226804211393324,0.0218142716047349,fibroblast
EGF,0.641819238593433,0.0878447484200882,0.0225815905253514,0.0169053369289008,fibroblast
PTHLH,0.636297587910494,0.0877871195113912,0.0225239616166544,0.016532868857352,fibroblast
XCL2,0.638549840162743,0.0877189024787103,0.0224557445839735,0.0673252309648444,fibroblast
CLEC2B,0.643962510897995,0.0877144271643457,0.0224512692696088,0.0641356991214127,fibroblast
CXCL3,0.643272304562629,0.0876916035371069,0.0224284456423701,0.042339096690234,fibroblast
HLA.DQB1,0.640348009299623,0.0876435397594142,0.0223803818646774,0.017734129487168,fibroblast
THBS2,0.633863702412089,0.0875942947147329,0.022331136819996,0.0334739784296405,fibroblast
SPP1,0.645615373437957,0.0875803107962885,0.0223171529015517,0.0116652336633728,fibroblast
ACE,0.651645597210115,0.0875701435013889,0.0223069856066521,0.0173058897744078,fibroblast
CD209,0.638549840162746,0.0875129281179639,0.0222497702232271,0.0416657576851546,fibroblast
CD47,0.643126997965707,0.0874838843601216,0.0222207264653848,0.0250890193187637,fibroblast
VEGFD,0.643344957861091,0.0873964819982533,0.0221333241035164,0.0533834464284439,fibroblast
ENG,0.635353095030515,0.0873056231214632,0.0220424652267263,0.052191291578243,fibroblast
ICAM3,0.631084713746007,0.0870626260701572,0.0217994681754203,0.0600849308647527,fibroblast
TNFSF18,0.647595175820982,0.0869708674108689,0.021707709516132,0.0736994198117857,fibroblast
PGF,0.644180470793375,0.0869148265718301,0.0216516686770933,0.0106505409826981,fibroblast
IGF2,0.637696163905842,0.0869053354919482,0.0216421775972114,0.0146243619319891,fibroblast
CCL8,0.644561900610288,0.0868580958435024,0.0215949379487656,0.0666372446245537,fibroblast
HLA.DPB1,0.642509444928799,0.0866878266826589,0.021424668787922,0.0677797273945792,fibroblast
TNFSF13B,0.625944492879977,0.0866165191483841,0.0213533612536473,0.0269560901996269,fibroblast
XCL1,0.633046352804418,0.0865847149132394,0.0213215570185025,0.0636255406120114,fibroblast
FGF12,0.64893926184249,0.0864061502919304,0.0211429923971935,0.0775032261088131,fibroblast
BGN,0.637605347282766,0.0863928456757824,0.0211296877810455,0.0540276473770448,fibroblast
ANGPTL1,0.640929235687303,0.086388020292224,0.0211248623974871,0.0728099349838333,fibroblast
CXCL10,0.644943330427204,0.0862481965185587,0.0209850386238218,0.00541805330071756,fibroblast
S100B,0.634281458878231,0.0862299919823321,0.0209668340875952,0.00706701115467913,fibroblast
HLA.C,0.640057396105785,0.0861250003008349,0.020861842406098,0.0738958758508127,fibroblast
CCL20,0.639458006393491,0.0860835503549486,0.0208203924602117,0.0290802942748856,fibroblast
CXCL9,0.641492298750365,0.0860281054963146,0.0207649476015777,-0.00464642338377536,fibroblast
CD86,0.640366172624237,0.0859900796348422,0.0207269217401054,0.00315285170567839,fibroblast
IL16,0.6416557686719,0.0859070565648073,0.0206438986700705,0.0109905301745088,fibroblast
CXCL6,0.630412670735253,0.0857612739030006,0.0204981160082638,0.00639895965483995,fibroblast
COL18A1,0.630739610578322,0.0857570766401743,0.0204939187454374,0.0477973135368106,fibroblast
CCL19,0.642781894798028,0.0856634299451319,0.0204002720503951,-0.00930941995073105,fibroblast
HLA.DRA,0.644471083987214,0.0855112463760844,0.0202480884813476,0.0370629786062979,fibroblast
CEACAM1,0.633827375762861,0.0853870875001418,0.020123929605405,0.0728814351199371,fibroblast
IL24,0.569529206625982,0.0853789180799383,0.0201157601852014,-0.00433457771818509,fibroblast
TNFSF15,0.634208805579773,0.0852996882777319,0.0200365303829951,0.011824366641172,fibroblast
CCL18,0.615736704446379,0.0852459824778992,0.0199828245831624,0.0386893821693923,fibroblast
NRG4,0.628632664922988,0.085003894428475,0.0197407365337382,0.0689153946016834,fibroblast
HLA.A,0.639821272885792,0.0849631575598313,0.0196999996650945,0.0496613038955885,fibroblast
CCL11,0.639476169718107,0.0849215501866567,0.0196583922919198,0.0416138305179598,fibroblast
IGFBP3,0.628614501598375,0.0849092899105286,0.0196461320157917,0.0598918218688997,fibroblast
WNT5A,0.631411653589073,0.0848265460848447,0.0195633881901079,0.0107742842072168,fibroblast
ICAM1,0.623292647486197,0.0846214042794783,0.0193582463847414,0.0369732434990834,fibroblast
CCL3L3,0.632919209532112,0.0845671629023227,0.0193040050075859,0.0202754796223122,fibroblast
