ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
ANGPTL1,ITGB1,fibroblast,7.2811953174359,0.246573744975481,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.64137795566733e-05,6.91310236453387e-05
COL3A1,ITGB1,fibroblast,9.92481302491127,0.35239596527109,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,6.74262420866835e-05,6.74262420866835e-05
COL15A1,ITGB1,fibroblast,6.83860766821142,0.233274285305923,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.29943452931472e-05,6.63954762345178e-05
FGG,ITGB1,fibroblast,6.12047778296005,0.208534885962079,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,8.13845621543133e-05,6.51076497234507e-05
COL9A1,ITGB1,fibroblast,7.28483393039664,0.252420655354701,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.7388666004186e-05,6.19109328033488e-05
COL11A1,ITGB1,fibroblast,5.6739207377784,0.192467032277713,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.67767800501392e-05,6.14214240401114e-05
VCAM1,ITGB1,fibroblast,5.9173770231515,0.200994943891205,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.58563555202541e-05,6.06850844162033e-05
COL14A1,ITGB1,fibroblast,6.7664969749895,0.234558337828072,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.56187725499535e-05,6.04950180399628e-05
COL6A3,ITGB1,fibroblast,6.6957094137533,0.230349942116661,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.53305355923622e-05,6.02644284738898e-05
COL8A1,ITGB1,fibroblast,7.39531545120455,0.252151457375062,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.42691560636332e-05,5.94153248509065e-05
COL12A1,ITGB1,fibroblast,6.71357169556056,0.227437632832878,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,7.32175409035618e-05,5.85740327228494e-05
ADM2,RAMP1,fibroblast,7.66523437629212,0.252844913505849,-0.000340479145456659,4.72842058303121e-16,0.274460698431807,5,5,1,5.40009681878544e-05,5.40009681878544e-05
CD40LG,ITGB1,fibroblast,5.29649733885079,0.179702154916749,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,4,5,0.8,6.56867274308793e-05,5.25493819447034e-05
IAPP,RAMP1,fibroblast,5.21545550472524,0.176647281452921,-0.000340479145456659,4.72842058303121e-16,0.274460698431807,4,5,0.8,3.78318361618711e-05,3.02654689294968e-05
DCN,MET,fibroblast,6.8061909345612,0.234339795557283,-0.0002584895492646,1.16711516794772e-10,0.0345991379773638,5,5,1,2.46887622738243e-05,2.46887622738243e-05
HGF,MET,fibroblast,6.0245507139951,0.205418863674724,-0.0002584895492646,1.16711516794772e-10,0.0345991379773638,4,5,0.8,1.80632412629572e-05,1.44505930103658e-05
